"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
1,8,"AGO","Angola",1,"Bengo",1,"Ambriz",1,"Ambriz","Commune","Commune",NA,NA
2,8,"AGO","Angola",1,"Bengo",1,"Ambriz",2,"Bela Vista","Commune","Commune",NA,NA
3,8,"AGO","Angola",1,"Bengo",1,"Ambriz",3,"Tabi","Commune","Commune",NA,NA
4,8,"AGO","Angola",1,"Bengo",2,"Dande",4,"Barra do Dande","Commune","Commune",NA,NA
5,8,"AGO","Angola",1,"Bengo",2,"Dande",5,"Caxito","Commune","Commune",NA,NA
6,8,"AGO","Angola",1,"Bengo",2,"Dande",6,"Kikabo","Commune","Commune",NA,NA
7,8,"AGO","Angola",1,"Bengo",2,"Dande",7,"Mabubas","Commune","Commune",NA,NA
8,8,"AGO","Angola",1,"Bengo",2,"Dande",8,"Ucua","Commune","Commune",NA,NA
9,8,"AGO","Angola",1,"Bengo",3,"Icolo e Bengo",9,"Bom Jesus","Commune","Commune",NA,NA
10,8,"AGO","Angola",1,"Bengo",3,"Icolo e Bengo",10,"Calomboloca","Commune","Commune",NA,NA
11,8,"AGO","Angola",1,"Bengo",3,"Icolo e Bengo",11,"Catete","Commune","Commune",NA,NA
12,8,"AGO","Angola",1,"Bengo",3,"Icolo e Bengo",12,"Kabiri","Commune","Commune",NA,NA
13,8,"AGO","Angola",1,"Bengo",4,"Muxima",13,"Dembo Chio","Commune","Commune",NA,NA
14,8,"AGO","Angola",1,"Bengo",4,"Muxima",14,"Kixinje","Commune","Commune",NA,NA
15,8,"AGO","Angola",1,"Bengo",4,"Muxima",15,"Mumbondo","Commune","Commune",NA,NA
16,8,"AGO","Angola",1,"Bengo",4,"Muxima",16,"Muxima","Commune","Commune",NA,NA
17,8,"AGO","Angola",1,"Bengo",5,"Nambuangongo",17,"Gombe","Commune","Commune",NA,NA
18,8,"AGO","Angola",1,"Bengo",5,"Nambuangongo",18,"Kage","Commune","Commune",NA,NA
19,8,"AGO","Angola",1,"Bengo",5,"Nambuangongo",19,"Kanacassala","Commune","Commune",NA,NA
20,8,"AGO","Angola",1,"Bengo",5,"Nambuangongo",20,"Kicunzo","Commune","Commune",NA,NA
21,8,"AGO","Angola",1,"Bengo",5,"Nambuangongo",21,"Kixico","Commune","Commune",NA,NA
22,8,"AGO","Angola",1,"Bengo",5,"Nambuangongo",22,"Muxiluando","Commune","Commune",NA,NA
23,8,"AGO","Angola",1,"Bengo",5,"Nambuangongo",23,"Zala","Commune","Commune",NA,NA
24,8,"AGO","Angola",2,"Benguela",6,"Baía Farta",24,"Baia Farta","Commune","Commune",NA,NA
25,8,"AGO","Angola",2,"Benguela",6,"Baía Farta",25,"Dombe Grande","Commune","Commune",NA,NA
26,8,"AGO","Angola",2,"Benguela",6,"Baía Farta",26,"Ekimina","Commune","Commune",NA,NA
27,8,"AGO","Angola",2,"Benguela",6,"Baía Farta",27,"Kalahanga","Commune","Commune",NA,NA
28,8,"AGO","Angola",2,"Benguela",7,"Balombo",28,"Balombo","Commune","Commune",NA,NA
29,8,"AGO","Angola",2,"Benguela",7,"Balombo",29,"Chindumbo","Commune","Commune",NA,NA
30,8,"AGO","Angola",2,"Benguela",7,"Balombo",30,"Chingongo","Commune","Commune",NA,NA
31,8,"AGO","Angola",2,"Benguela",8,"Benguela",31,"Benguela","Commune","Commune",NA,NA
32,8,"AGO","Angola",2,"Benguela",9,"Bocoio",32,"Bocoio","Commune","Commune",NA,NA
33,8,"AGO","Angola",2,"Benguela",9,"Bocoio",33,"Cavimbe","Commune","Commune",NA,NA
34,8,"AGO","Angola",2,"Benguela",9,"Bocoio",34,"Chila","Commune","Commune",NA,NA
