ws_id,ws_name,ws_origin,ws_lat,ws_lon,WOREDANAME,Soil_typ_2,Soil_type,Soil_name,soil_id,soil_name
5e91e1c214daf81260ebba59,Mehoni Town,NMA-EIAR,12.79,39.65,Raya Azebo,Vertisol,Haplic Vertisols,*ET00950068,6334a6d230243c12cc1fa8c3,Haplic Vertisols
5e91e1c214daf81260ebba59,Mehoni Town,NMA-EIAR,12.79,39.65,Raya Azebo,Leptosol,Haplic Leptosols,*ET00970067,6334a6d330243c12cc1fa8ca,Haplic Leptosols
5eb346bdebd0050e38685f3e,Kobo Zuriya,NMA-EIAR,12.13649,39.66048,Kobo,Vertisol,Haplic Vertisols,*ET00900068,6334a6d230243c12cc1fa8c3,Haplic Vertisols
5eb346bdebd0050e38685f3e,Kobo Zuriya,NMA-EIAR,12.13649,39.66048,Kobo,Leptosol,Haplic Leptosols,*ET00900067,6334a6d330243c12cc1fa8ca,Haplic Leptosols
5ebad1b04c06b707e80d619d,Dabat,NMA-EIAR,12.98155,37.76345,Dabat,Vertisol,Haplic Luvisols,*ET01010050,6334a6d330243c12cc1fa8c7,Haplic Luvisols
5ebad1b04c06b707e80d619d,Dabat,NMA-EIAR,12.98155,37.76345,Dabat,Leptosol,Lithic Leptosols,*ET01000048,6334a6d330243c12cc1fa8c5,Lithic Leptosols
5ebad1e14c06b707e80d6423,Wereta Zuria,NMA-EIAR,11.91951,37.70674,Fogera,Vertisol,Haplic Vertisols,*ET00890048,6334a6d230243c12cc1fa8c3,Haplic Vertisols
5ebad1e14c06b707e80d6423,Wereta Zuria,NMA-EIAR,11.91951,37.70674,Fogera,Leptosol,Lithic Leptosols,*ET00880049,6334a6d330243c12cc1fa8c5,Lithic Leptosols
5ebad1e14c06b707e80d6423,Wereta Zuria,NMA-EIAR,11.91951,37.70674,Fogera,Luvisol,Haplic Vertisols,*ET00900049,6334a6d230243c12cc1fa8c3,Haplic Vertisols
60a114538141a31200f3e589,Rema,NMA-EIAR,10.274825,38.92074,Mimo Weremo,Vertisol,Rendzic Leptosols,*ET00730060,6334a6d330243c12cc1fa8c6,Rendzic Leptosols
